timestamp,price,percent_change_24h,volatility,log_return,volatility_7d,volatility_14d,volatility_30d,avg_abs_change_7d,avg_abs_change_14d,avg_abs_change_30d,parkinson_7d,eth_volatility_index
2025-01-31 16:00:00,3296.390635,1.48,1.48,0.014711891999091259,2.632975192313932,2.723350390269169,3.388554533144893,2.112857142857143,2.3249999999999997,2.740333333333333,1.4702679609266547,3.686675195134584
2025-02-01 16:00:00,3125.03868,-5.2,5.2,-0.05338146221325623,3.2868716062849126,2.773972163076616,3.473161870687078,2.8200000000000003,2.3507142857142855,2.815,1.884595125328646,3.7377003672525935
2025-02-02 16:00:00,2862.697619,-8.39,8.39,-0.08768225700912291,4.447621450950528,3.512430395512494,3.6795167462513816,3.6400000000000006,2.732142857142857,2.9436666666666667,2.6109014157858197,4.488358054899104
2025-02-03 16:00:00,2877.813824,0.53,0.53,0.005266513302472268,4.5276052602726296,3.461590230530228,3.6621193236962286,3.455714285714286,2.6478571428571427,2.9093333333333335,2.5808155111058837,4.378652258122257
2025-02-04 16:00:00,2740.380976,-4.78,4.78,-0.04893396393485663,4.6876258204033405,3.514225377881338,3.7372909643406422,3.7014285714285715,2.8514285714285714,3.0463333333333336,2.7120860299881433,4.608541260369241
2025-02-05 16:00:00,2790.552161,1.83,1.83,0.018142530350437218,4.752682003434615,3.5902703363777717,3.7469797577281603,3.787142857142857,2.7914285714285714,3.0603333333333333,2.7294706829128708,4.586563739617457
2025-02-06 16:00:00,2686.662317,-3.72,3.72,-0.037939834554206554,4.041010439119821,3.465730015269481,3.4949093691098825,3.7042857142857146,2.847142857142857,2.9066666666666667,2.685207132183826,4.580007864777597
2025-02-07 16:00:00,2623.450702,-2.35,2.35,-0.023809135826558,3.6164416727835587,3.4618597604665324,3.5039325310575222,3.828571428571429,2.9707142857142856,2.9309999999999996,2.7169878919639965,4.701644165947552
2025-02-08 16:00:00,2635.601142,0.46,0.46,0.004620780315426464,3.724329789486311,3.471343101343216,3.4797583561754957,3.1514285714285712,2.9857142857142853,2.8400000000000003,2.4494274120060435,4.721385836385894
2025-02-09 16:00:00,2632.535822,-0.12,0.12,-0.0011637208246028418,2.5089252369786643,3.4803445954255685,3.456515982428231,1.9700000000000002,2.8049999999999997,2.792,1.5406155000061106,4.545172297712784
2025-02-10 16:00:00,2660.2968,1.05,1.05,0.010490122985756653,2.575631078327805,3.5416469757668114,3.465352990268887,2.0442857142857145,2.75,2.8123333333333336,1.5542937024078145,4.520823487883406
2025-02-11 16:00:00,2603.03337,-2.15,2.15,-0.02176024976297249,2.06720625435393,3.512985732487616,3.475683513026805,1.6685714285714286,2.685,2.864333333333333,1.2152130034911341,4.441492866243808
2025-02-12 16:00:00,2736.270314,5.12,5.12,0.04991834810307883,2.9009422448551363,3.8413503598309107,3.5708137491061187,2.138571428571429,2.962857142857143,2.9026666666666667,1.6293813186666566,4.883532322772599
2025-02-13 16:00:00,2675.709001,-2.21,2.21,-0.022381401524619073,2.634234986522224,3.5545620252373142,3.529504753579667,1.922857142857143,2.8135714285714286,2.880333333333333,1.4810519099700359,4.590852441190085
2025-02-14 16:00:00,2724.669834,1.83,1.83,0.01813286660766121,2.49101490498383,3.5768133212589905,3.2869589295531894,1.8485714285714288,2.8385714285714285,2.711666666666667,1.4427475194900168,4.626978089200923
2025-02-15 16:00:00,2692.821386,-1.17,1.17,-0.011757772597597292,2.575143442840235,3.3888084184188845,3.2290291760583893,1.9499999999999997,2.5507142857142857,2.6176666666666666,1.4632669211473042,4.245118494923728
2025-02-16 16:00:00,2659.901747,-1.22,1.22,-0.012300301448692848,2.639250153690217,2.5704654848928103,3.049300810878692,2.107142857142857,2.0385714285714287,2.4893333333333336,1.488992166353516,3.3238041710178337
2025-02-17 16:00:00,2741.90508,3.08,3.08,0.030363778579737617,2.8507766228411144,2.7318836931747787,3.0311117135011556,2.3971428571428572,2.220714285714286,2.4306666666666668,1.6275984253126798,3.5866561323016755
2025-02-18 16:00:00,2669.494501,-2.64,2.64,-0.02676383445343983,2.932169231251175,2.5026182706847795,3.0201997107086647,2.467142857142857,2.0678571428571426,2.4170000000000003,1.6643348659097519,3.3191662781995324
2025-02-19 16:00:00,2714.801836,1.7,1.7,0.016829833120485842,2.24792952444225,2.4947763515377894,3.019809571649464,1.9785714285714284,2.0585714285714287,2.4166666666666665,1.252287892975561,3.305959604340323
2025-02-20 16:00:00,2741.593363,0.99,0.99,0.009820308586041973,2.062263554783895,2.2825302281133357,2.9977143534715953,1.8042857142857145,1.8635714285714287,2.3853333333333335,1.169218567392315,3.0048365426280963
2025-02-21 16:00:00,2658.347094,-3.04,3.04,-0.03083473431045927,2.2990995093854325,2.3490786078294295,3.007491901336421,1.977142857142857,1.912857142857143,2.3976666666666664,1.292552661276247,3.0873964467718578
2025-02-22 16:00:00,2764.355233,3.99,3.99,0.039102882577405275,2.7540455599237466,2.561742656668744,3.053959247568041,2.38,2.165,2.432666666666667,1.5557764572692143,3.445871328334372
