timestamp,price,percent_change_24h,volatility,log_return,volatility_7d,volatility_14d,volatility_30d,avg_abs_change_7d,avg_abs_change_14d,avg_abs_change_30d,parkinson_7d,btc_volatility_index
2025-02-01 16:00:00,100674.787625,-1.67,1.67,-0.01681936795232039,1.7255997146119535,2.0153590887107686,2.288818451568366,1.5285714285714285,1.5692857142857142,1.6973333333333334,1.0152149216846034,2.5769652586410983
2025-02-02 16:00:00,97568.31653,-3.09,3.09,-0.03134258222499121,1.9043419453708517,2.032165772717853,2.353555932327047,1.6642857142857141,1.5807142857142857,1.7579999999999998,1.1343114297821975,2.596797172073212
2025-02-03 16:00:00,101466.860666,4.0,4.0,0.03917943426947347,2.5911556720372704,2.3170090194245545,2.4608783875364217,2.152857142857143,1.832142857142857,1.8853333333333333,1.4469715392974993,2.9906473668551343
2025-02-04 16:00:00,98118.439217,-3.3,3.3,-0.03355693688453152,2.8783335468093063,2.1221665231300286,2.540790062287299,2.5342857142857143,1.757857142857143,1.9916666666666667,1.6230778646116775,2.8189404044221575
2025-02-05 16:00:00,96582.886829,-1.56,1.56,-0.01577374183906211,2.610758733003111,2.0789912418162553,2.4479045448640675,2.4185714285714286,1.7007142857142856,1.9126666666666667,1.571738777879516,2.7402099066224133
2025-02-06 16:00:00,96635.418753,0.05,0.05,0.0005437572297937861,2.508732629585464,2.0701392349426593,2.249582166071563,2.28,1.6771428571428573,1.7423333333333335,1.5546334526871,2.712212474614187
2025-02-07 16:00:00,96558.45631,-0.08,0.08,-0.0007967379612440413,2.4786039484090154,2.0431481389064285,2.217606513242176,1.9642857142857142,1.6300000000000001,1.6783333333333335,1.46526912455312,2.6515740694532144
2025-02-08 16:00:00,96558.237625,-0.0,0.0,-2.2647964352039594e-06,2.464480026925217,2.0439409766860246,2.1504279873105547,1.7257142857142858,1.627142857142857,1.5856666666666668,1.4153854700447637,2.649113345485869
2025-02-09 16:00:00,96548.578654,-0.01,0.01,-0.00010003759778319312,2.1966178174189777,1.996416588518824,2.103150403120839,1.2857142857142858,1.475,1.5006666666666666,1.2293726122989321,2.473208294259412
2025-02-10 16:00:00,97399.981614,0.88,0.88,0.008779734460793802,1.4223557476177078,2.0258439676764954,2.107764865190714,0.84,1.4964285714285714,1.5236666666666667,0.852561245010347,2.509350555266819
2025-02-11 16:00:00,95739.977371,-1.7,1.7,-0.01719007427505806,0.9454346650449441,2.0589783758155678,2.1335683092578535,0.6114285714285714,1.5728571428571427,1.5766666666666669,0.5609474961014272,2.6023463307649264
2025-02-12 16:00:00,97836.188561,2.19,2.19,0.021658587178613325,1.168239653569431,2.0408571780777556,2.1683548884432673,0.7014285714285714,1.56,1.6496666666666668,0.6605978258043748,2.5804285890388776
2025-02-13 16:00:00,96561.663999,-1.3,1.3,-0.013112725345006534,1.3001165840830962,2.00949596913312,2.1460977983595866,0.88,1.58,1.6183333333333332,0.7234207807925284,2.58474798456656
2025-02-14 16:00:00,97488.481485,0.96,0.96,0.009552422970447857,1.348921043626816,1.9825394501168845,2.032301053290682,1.0057142857142858,1.485,1.5213333333333334,0.7553099655044841,2.4762697250584425
2025-02-15 16:00:00,97569.951694,0.08,0.08,0.0008353416195311465,1.3478726167029818,1.9471238187188706,2.032283562421185,1.0171428571428571,1.3714285714285714,1.5150000000000001,0.7555282277035543,2.344990480788007
2025-02-16 16:00:00,96149.348455,-1.46,1.46,-0.01466687835625631,1.482245757639363,1.8008974938320659,1.8913976339147327,1.2242857142857144,1.2550000000000001,1.4266666666666665,0.8250139773631391,2.155448746916033
2025-02-17 16:00:00,95776.157239,-0.39,0.39,-0.003888922266865418,1.4249827024456434,1.3794281553354573,1.8897250905006866,1.1542857142857144,0.9971428571428571,1.434,0.8053472329131013,1.6868569348105857
2025-02-18 16:00:00,95495.891533,-0.29,0.29,-0.002930547441496825,1.2720605185139078,1.0890081103688047,1.820201362291628,0.9528571428571428,0.7821428571428573,1.3459999999999999,0.7099370852525232,1.3266469123272597
2025-02-19 16:00:00,96554.871563,1.11,1.11,0.011028238012165044,0.9995946703559612,1.0622735338845763,1.831663877351434,0.7985714285714286,0.75,1.3670000000000002,0.5660178409209721,1.2811367669422882
2025-02-20 16:00:00,98384.317382,1.89,1.89,0.018769951180706103,1.1215727193779863,1.1753870667881532,1.678915335590363,0.8828571428571428,0.8814285714285715,1.2853333333333332,0.6460271398323925,1.469122104822648
2025-02-21 16:00:00,96135.155413,-2.29,2.29,-0.023126344922235514,1.4261668677238004,1.345015938520728,1.67553392923261,1.0728571428571427,1.0392857142857141,1.2830000000000001,0.8000419441112168,1.711793683546078
2025-02-22 16:00:00,96564.154143,0.45,0.45,0.004452526993789088,1.4445739975316052,1.3510656043429676,1.676432167007261,1.1257142857142857,1.0714285714285714,1.2853333333333334,0.8063318982315948,1.746961373600055
2025-02-23 16:00:00,96327.463091,-0.25,0.25,-0.0024541364128624985,1.3277996863365769,1.352669522929204,1.6661065703180569,0.9528571428571428,1.0885714285714285,1.269,0.7372659757959549,1.7649061900360306
2025-02-24 16:00:00,91396.766869,-5.12,5.12,-0.05254335640603338,2.4121431111188634,1.9162573708668043,1.8960685922437805,1.6285714285714283,1.3914285714285715,1.4383333333333335,1.373468787648092,2.3495572568619734
2025-02-25 16:00:00,88755.769336,-2.89,2.89,-0.02932167156443795,2.5461799738470012,2.003295825692715,1.9248864070436196,2.0,1.4764285714285716,1.4633333333333334,1.520665560302092,2.478076484274929
2025-02-26 16:00:00,83900.114965,-5.47,5.47,-0.056261449111065835,2.8517507252858127,2.259433109382654,2.1420122488345,2.6228571428571428,1.7107142857142856,1.6263333333333336,1.9469486601304378,2.8404308404056127
2025-02-27 16:00:00,84709.144778,0.96,0.96,0.009596578777995851,2.658021299744288,2.323523465716178,2.1620842115817265,2.4899999999999998,1.6864285714285714,1.6373333333333333,1.9115550063015974,2.8481903042866605
