timestamp,price,percent_change_24h,volatility,log_return,volatility_12h,volatility_24h,volatility_48h,avg_abs_change_12h,avg_abs_change_24h,btc_volatility_index_hourly
2025-04-06 03:04:52,83027.183569,0.02,0.02,0.00023697737658746066,0.21630119383816088,0.25554266062867653,,0.15833333333333333,0.21041666666666667,0.33818799698100493
2025-04-06 04:01:41,82814.296002,-0.26,0.26,-0.0025673635387900005,0.20684946029521878,0.25568754217859097,,0.15416666666666665,0.21083333333333334,0.3386771044226288
2025-04-06 05:03:54,82806.575945,-0.01,0.01,-9.322565344374359e-05,0.15144628920918188,0.25133989382111427,,0.12,0.20041666666666666,0.3260866135772238
2025-04-06 06:04:42,82640.534047,-0.2,0.2,-0.002007190742153698,0.15559203174588393,0.25082861457530625,,0.13333333333333333,0.19958333333333333,0.32499764062098646
2025-04-06 07:04:54,82259.215682,-0.46,0.46,-0.004624858986200105,0.1902675193309194,0.2351948665831939,,0.16333333333333336,0.1925,0.31009743329159695
2025-04-06 08:04:39,82583.116333,0.39,0.39,0.003929828750766758,0.23944350260575983,0.2450035149276243,,0.18333333333333335,0.1991666666666667,0.3216684241304788
2025-04-06 09:05:36,82409.484244,-0.21,0.21,-0.0021047265451920195,0.23957600952230007,0.23869988307134438,,0.19666666666666668,0.19375,0.3130999415356722
2025-04-06 10:03:35,81902.077018,-0.62,0.62,-0.00617617938787324,0.26655134212256043,0.26656657639186027,0.330462760652427,0.2333333333333333,0.2141666666666667,0.34744995486259683
2025-04-06 11:09:47,80308.204566,-1.95,1.95,-0.019652561296488402,0.5827917629235232,0.47242669225100087,0.3821318997582798,0.3908333333333333,0.29125,0.5274633461255005
2025-04-06 12:09:38,78970.013277,-1.67,1.67,-0.016803588019493353,0.7040266713908412,0.5594796180947004,0.4382060648574115,0.49750000000000005,0.34833333333333333,0.6280731423806836
2025-04-06 13:09:29,79727.024157,0.96,0.96,0.009540400175213466,0.8072977351416142,0.6075735097071688,0.4636623243185787,0.5658333333333333,0.3770833333333334,0.6808700881869179
2025-04-06 14:04:43,78831.610457,-1.12,1.12,-0.011294537454840612,0.828600169820136,0.631936504722695,0.48617078366406913,0.6558333333333333,0.41333333333333333,0.7293015856946808
2025-04-06 15:04:34,78898.164175,0.08,0.08,0.0008438954801655594,0.8318012158331907,0.6348825235638998,0.4848390384344109,0.6608333333333333,0.40958333333333335,0.7270245951152833
2025-04-06 16:09:37,77918.79195,-1.24,1.24,-0.012490804344820826,0.8623115025644147,0.6590017304864465,0.5108406484701828,0.7425,0.4483333333333333,0.7778341985765566
2025-04-06 17:04:25,78366.832124,0.58,0.58,0.005733622706196728,0.908120297609411,0.666869986219899,0.5206637881445644,0.79,0.455,0.7884349931099495
2025-04-06 18:09:36,78387.691267,0.03,0.03,0.00026613768677159245,0.9163372442233962,0.6680296383502121,0.5204083052432474,0.7758333333333333,0.45458333333333334,0.7885981525084393
2025-04-06 19:43:31,78393.602727,0.01,0.01,7.541027187887443e-05,0.9253034751537332,0.66949678344654,0.5183721672417406,0.7383333333333334,0.45083333333333325,0.7855817250566033
2025-04-06 20:27:53,78102.087537,-0.37,0.37,-0.0037255406418622043,0.8913446275941239,0.6694425796938918,0.5190730157540723,0.7366666666666667,0.46,0.7947212898469459
2025-04-06 21:00:32,77583.135543,-0.66,0.66,-0.006666707421549338,0.8892325195925618,0.6707244800408516,0.523295667427921,0.7741666666666668,0.48541666666666666,0.8207789066870925
2025-04-06 22:07:04,76710.565084,-1.12,1.12,-0.011310633652495766,0.9074198379552411,0.6834277721913887,0.5408713365216424,0.8158333333333333,0.5245833333333333,0.8662972194290277
2025-04-06 23:04:01,76867.829106,0.21,0.21,0.0020479974126186703,0.8097829612685752,0.6904110409526146,0.5429955575728013,0.6708333333333334,0.5308333333333334,0.8760388538096406
2025-04-07 00:04:51,74773.258793,-2.72,2.72,-0.027627123560185405,1.0061062163566357,0.8493685617924357,0.6589372403750308,0.7583333333333334,0.6279166666666667,1.0526009475628846
2025-04-07 01:04:57,75161.948876,0.52,0.52,0.005184785612040006,0.9573233011796073,0.8698063010471895,0.6666375220887232,0.7216666666666667,0.64375,1.0786531505235948
2025-04-07 02:04:54,76178.35449,1.35,1.35,0.01343225662263567,1.0672900338366953,0.9373508845651918,0.7030933264445202,0.7408333333333333,0.6983333333333333,1.167008775615929
2025-04-07 03:01:14,76233.231876,0.07,0.07,0.0007201209524808666,1.0669061831092768,0.9382571019187037,0.6985685799793019,0.7400000000000001,0.7004166666666666,1.1695452176260184
2025-04-07 04:04:03,76919.887474,0.9,0.9,0.00896697634213355,1.0706912497821965,0.9724644642826125,0.7161492775364736,0.7116666666666668,0.7270833333333333,1.2133155654746395
2025-04-07 05:04:51,76790.256092,-0.17,0.17,-0.0016866995206116708,1.0490007334483071,0.9708817591336868,0.7160310204732694,0.6775000000000001,0.73375,1.2191908795668434
2025-04-07 06:04:57,77203.8835,0.54,0.54,0.005372001867269934,1.0678578003371413,0.9861984842628551,0.7232735111241821,0.7200000000000001,0.7479166666666668,1.2410159087980943
2025-04-07 07:02:14,78421.183085,1.58,1.58,0.015644323102029328,1.1748802555787892,1.054623852459265,0.7610873423911146,0.8508333333333334,0.7945833333333333,1.3218952595629658
2025-04-07 08:06:30,79250.752604,1.06,1.06,0.01052282602105857,1.2050933073650707,1.0790211749295398,0.7780017033464328,0.9083333333333333,0.8225000000000001,1.3620105874647699
2025-04-07 09:04:41,78444.42264,-1.02,1.02,-0.010226527096095093,1.2303798419311816,1.092938984753237,0.7887370517026038,0.9383333333333335,0.8562500000000001,1.4027194923766184
2025-04-07 10:04:48,77421.749661,-1.3,1.3,-0.013122637702922667,1.2477440601864727,1.113336069887061,0.8067128201538312,0.9533333333333335,0.8845833333333334,1.441251368276864
2025-04-07 11:04:51,79063.49516,2.12,2.12,0.020983521352854872,1.3782935267045473,1.1471467026119728,0.868454442075288,1.1125,0.8916666666666666,1.465240017972653
2025-04-07 12:04:58,78467.739331,-0.75,0.75,-0.007563689463340921,1.0685127751284855,1.105321900621334,0.8716080343253703,0.9483333333333333,0.8533333333333334,1.4059942836440005
