timestamp,price,percent_change_24h,volatility,log_return,volatility_12h,volatility_24h,volatility_48h,avg_abs_change_12h,avg_abs_change_24h,eth_volatility_index_hourly
2025-04-06 05:04:36,1789.114644,-0.01,0.01,-8.738745109423902e-05,0.21926145273417538,0.3222885032665513,,0.16416666666666668,0.2558333333333333,0.41697758496660897
2025-04-06 06:04:45,1780.061395,-0.51,0.51,-0.005073029918945821,0.23535185802828415,0.3124236358242655,,0.1925,0.2504166666666667,0.4066284845787994
2025-04-06 07:04:53,1749.859587,-1.7,1.7,-0.01711230656586422,0.5075401947026315,0.45782583144284544,,0.33166666666666667,0.30291666666666667,0.5318295823880894
2025-04-06 08:04:38,1765.626573,0.9,0.9,0.008970077538584175,0.6110612176613103,0.49775098071742074,,0.38666666666666666,0.3329166666666667,0.581792157025377
2025-04-06 09:05:54,1756.727374,-0.5,0.5,-0.00505299471261869,0.6073214078153736,0.4993856966657462,,0.415,0.3345833333333334,0.5842761816662065
2025-04-06 10:01:16,1737.663523,-1.09,1.09,-0.01091122355710403,0.645908755497941,0.5400183683539239,,0.5016666666666666,0.3754166666666667,0.6454258508436286
2025-04-06 11:09:47,1675.569763,-3.57,3.57,-0.03638814353353021,1.1338274425353936,0.8970032171005772,0.6909151103852291,0.79,0.5187499999999999,0.9672516085502885
2025-04-06 12:09:38,1620.321676,-3.3,3.3,-0.03352856948678852,1.3764347038623788,1.085908938039746,0.8226780904385043,1.0133333333333334,0.6429166666666667,1.1858711356865397
2025-04-06 13:09:29,1627.820963,0.46,0.46,0.004617592980701195,1.4150325322822508,1.1002606755396065,0.8244839390888894,1.0416666666666667,0.6395833333333333,1.1897136711031364
2025-04-06 14:04:45,1574.848549,-3.25,3.25,-0.033083179656677675,1.5651823580854687,1.238993158061556,0.9280216525955698,1.2975,0.7595833333333334,1.3790799123641113
2025-04-06 15:04:35,1587.4002,0.8,0.8,0.00793847537790986,1.642221047438571,1.2596676856151898,0.9414403877405738,1.345,0.7841666666666667,1.4140005094742616
2025-04-06 16:09:34,1569.250232,-1.14,1.14,-0.011499637610000054,1.614785930107947,1.25690498884999,0.9480676859403377,1.435833333333333,0.8233333333333334,1.4517858277583282
2025-04-06 17:03:21,1579.036625,0.62,0.62,0.006216984007849742,1.6628246946712597,1.2589629559178268,0.9574600923812611,1.4866666666666666,0.8254166666666666,1.45489814462558
2025-04-06 18:09:36,1572.954662,-0.39,0.39,-0.003859129035821218,1.6667304915697396,1.2500823530677672,0.949425332106394,1.4766666666666666,0.8345833333333332,1.4596245098672167
2025-04-06 19:43:31,1577.222435,0.27,0.27,0.0027095464665158743,1.6912051439213576,1.2573270647159973,0.9529498011574504,1.3575,0.8445833333333334,1.473246865691332
2025-04-06 20:27:54,1565.187242,-0.76,0.76,-0.007659887209474318,1.5992795619455455,1.255859430721756,0.9552255891049071,1.3458333333333332,0.86625,1.494179715360878
